file	lines	omega	decide	bv_decide	simp	norm_num	decision_total
Vsa/Sim/DecodeTable/Batch02Part05.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part06.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part07.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part08.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part09.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part10.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part11.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part12.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part13.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part14.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part15.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part16.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part17.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part18.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part19.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part20.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part21.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part22.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part23.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part24.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part25.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part26.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part27.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part28.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part29.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part30.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part31.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part32.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part01.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part02.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part03.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part04.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part05.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part06.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part07.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part08.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part09.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part10.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch03Part11.lean	484	16	48	0	48	0	64
