LeanRV64DExecutable.Functions.read_pte	2	-	LeanRV64DExecutable.Functions.mem_read_priv
LeanRV64DExecutable.Functions.pte_is_invalid	2	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.currentlyEnabled
LeanRV64DExecutable.Functions.pt_walk._unary	8	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.read_pte,LeanRV64DExecutable.Functions.pte_is_invalid,LeanRV64DExecutable.Functions.check_PTE_permission,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.page_based_mem_type_forwards,LeanRV64DExecutable.SailME.throw,LeanRV64DExecutable.Functions.currentlyEnabled
LeanRV64DExecutable.Functions.pt_walk	10	-	LeanRV64DExecutable.Functions.pt_walk._unary
LeanRV64DExecutable.Functions.add_to_TLB	8	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.translate_TLB_miss	9	-	LeanRV64DExecutable.Functions.pt_walk,LeanRV64DExecutable.Functions.update_and_write_pte,LeanRV64DExecutable.Functions.add_to_TLB
LeanRV64DExecutable.Functions.translate	9	-	LeanRV64DExecutable.Functions.lookup_TLB,LeanRV64DExecutable.Functions.translate_TLB_hit,LeanRV64DExecutable.Functions.translate_TLB_miss
LeanRV64DExecutable.Functions.translateAddr	2	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.effectivePrivilege,LeanRV64DExecutable.Functions.translationMode,LeanRV64DExecutable.Functions.is_shadow_stack_access,LeanRV64DExecutable.Functions.satp_mode_width_forwards,LeanRV64DExecutable.Functions.get_satp,LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.translationException,LeanRV64DExecutable.Functions.translate,LeanRV64DExecutable.SailME.throw
LeanRV64DExecutable.Functions.rvfi_fetch	1	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg,LeanRV64DExecutable.Functions.get_arch_pc,LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.translateAddr,LeanRV64DExecutable.SailME.throw
LeanRV64DExecutable.Functions.mem_read	7	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.effectivePrivilege,LeanRV64DExecutable.Functions.mem_read_priv
LeanRV64DExecutable.Functions.fetch_bytes	3	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.Functions.translateAddr,LeanRV64DExecutable.SailME.throw,LeanRV64DExecutable.Functions.mem_read,LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.fetch	1	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.Functions.rvfi_fetch,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.fetch_bytes,LeanRV64DExecutable.SailME.throw
LeanRV64DExecutable.Functions.encdec_reg_backwards	1	-	LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.encdec_compressed_backwards	1	-	LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.encdec_reg_backwards
LeanRV64DExecutable.Functions.ext_decode_compressed	1	-	LeanRV64DExecutable.Functions.encdec_compressed_backwards
LeanRV64DExecutable.Functions.is_landing_pad_expected	1	-	LeanRV64DExecutable.readReg
LeanRV64DExecutable.Functions.trap	1	-	LeanRV64DExecutable.readReg
LeanRV64DExecutable.Functions.rX	1	-	LeanRV64DExecutable.readReg
LeanRV64DExecutable.Functions.reset_elp	1	-	LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.execute_LPAD	1	-	LeanRV64DExecutable.Functions.is_landing_pad_expected,LeanRV64DExecutable.Functions.get_arch_pc,LeanRV64DExecutable.Functions.rX,LeanRV64DExecutable.Functions.trap,LeanRV64DExecutable.Functions.reset_elp
LeanRV64DExecutable.Functions.reg_name_forwards	1	-	LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.xreg_write_callback	2	-	LeanRV64DExecutable.Functions.reg_name_forwards
LeanRV64DExecutable.Functions.wX	2	-	LeanRV64DExecutable.Functions.xreg_write_callback,LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.wX_bits	2	-	LeanRV64DExecutable.Functions.wX
LeanRV64DExecutable.Functions.execute_UTYPE	3	-	LeanRV64DExecutable.Functions.wX_bits,LeanRV64DExecutable.Functions.get_arch_pc
LeanRV64DExecutable.Functions.get_next_pc	1	-	LeanRV64DExecutable.readReg
LeanRV64DExecutable.Functions.memory_exception	2	-	LeanRV64DExecutable.Functions.trap
LeanRV64DExecutable.Functions.set_next_pc	1	-	LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.jump_to	1	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.memory_exception,LeanRV64DExecutable.Functions.set_next_pc,LeanRV64DExecutable.SailME.throw
LeanRV64DExecutable.Functions.execute_JAL	2	-	LeanRV64DExecutable.Functions.get_next_pc,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.jump_to,LeanRV64DExecutable.Functions.wX_bits
LeanRV64DExecutable.Functions.rX_bits	1	-	LeanRV64DExecutable.Functions.rX
LeanRV64DExecutable.Functions.execute_BTYPE	4	-	LeanRV64DExecutable.Functions.rX_bits,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.jump_to
LeanRV64DExecutable.Functions.execute_ITYPE	4	-	LeanRV64DExecutable.Functions.wX_bits,LeanRV64DExecutable.Functions.rX_bits
LeanRV64DExecutable.Functions.execute_SHIFTIOP	4	-	LeanRV64DExecutable.Functions.wX_bits,LeanRV64DExecutable.Functions.rX_bits
LeanRV64DExecutable.Functions.execute_RTYPE	4	-	LeanRV64DExecutable.Functions.wX_bits,LeanRV64DExecutable.Functions.rX_bits
LeanRV64DExecutable.Functions.ext_data_get_addr	4	-	LeanRV64DExecutable.Functions.rX_bits
LeanRV64DExecutable.Functions.is_pmm_applicable	2	-	LeanRV64DExecutable.readReg
LeanRV64DExecutable.Functions.get_pmm	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.read_senvcfg,LeanRV64DExecutable.Functions.internal_error
LeanRV64DExecutable.Functions.get_pmlen	2	-	LeanRV64DExecutable.Functions.is_pmm_applicable,LeanRV64DExecutable.Functions.get_pmm,LeanRV64DExecutable.Functions.internal_error
LeanRV64DExecutable.Functions.transform_effective_address	2	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.effectivePrivilege,LeanRV64DExecutable.Functions.get_pmlen,LeanRV64DExecutable.Functions.translationMode
LeanRV64DExecutable.Functions.get_transformed_data_addr	4	-	LeanRV64DExecutable.Functions.ext_data_get_addr,LeanRV64DExecutable.Functions.transform_effective_address
LeanRV64DExecutable.Functions.split_on_page_boundary	3	-	LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.translate_and_read_value	6	-	LeanRV64DExecutable.Functions.translateAddr,LeanRV64DExecutable.Functions.memory_exception,LeanRV64DExecutable.Functions.mem_read
load_reservation	3	-	
LeanRV64DExecutable.Functions.vmem_read_addr	6	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.Functions.split_on_page_boundary,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.effectivePrivilege,LeanRV64DExecutable.Functions.translationMode,LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.translate_and_read_value,LeanRV64DExecutable.SailME.throw,load_reservation,LeanRV64DExecutable.Functions.memory_exception
LeanRV64DExecutable.Functions.vmem_read	7	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.Functions.get_transformed_data_addr,LeanRV64DExecutable.SailME.throw,LeanRV64DExecutable.Functions.vmem_read_addr
LeanRV64DExecutable.Functions.execute_LOAD	5	-	LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.vmem_read,LeanRV64DExecutable.Functions.wX_bits
LeanRV64DExecutable.Functions.mem_write_ea	7	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.effectivePrivilege,LeanRV64DExecutable.Functions.check_pma_with_pmp_priority,LeanRV64DExecutable.SailME.throw,LeanRV64DExecutable.Functions.split_misaligned,LeanRV64DExecutable.Functions.write_kind_of_flags,LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.pmpCheck
LeanRV64DExecutable.Functions.mem_write_value_meta	9	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.effectivePrivilege,LeanRV64DExecutable.Functions.mem_write_value_priv_meta
LeanRV64DExecutable.Functions.mem_write_value	8	-	LeanRV64DExecutable.Functions.mem_write_value_meta
LeanRV64DExecutable.Functions.translate_and_write_value	7	-	LeanRV64DExecutable.Functions.translateAddr,LeanRV64DExecutable.Functions.memory_exception,LeanRV64DExecutable.Functions.mem_write_ea,LeanRV64DExecutable.Functions.mem_write_value
LeanRV64DExecutable.Functions.phys_access_check	6	-	LeanRV64DExecutable.Functions.pmpCheck,LeanRV64DExecutable.Functions.pmaCheck
LeanRV64DExecutable.Functions.vmem_write_addr	7	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.Functions.split_on_page_boundary,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.effectivePrivilege,LeanRV64DExecutable.Functions.translationMode,LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.translate_and_write_value,LeanRV64DExecutable.SailME.throw,LeanRV64DExecutable.Functions.translateAddr,LeanRV64DExecutable.Functions.memory_exception,LeanRV64DExecutable.Functions.phys_access_check,LeanRV64DExecutable.Functions.mem_write_ea,LeanRV64DExecutable.Functions.mem_write_value
LeanRV64DExecutable.Functions.vmem_write	8	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.Functions.get_transformed_data_addr,LeanRV64DExecutable.SailME.throw,LeanRV64DExecutable.Functions.vmem_write_addr
LeanRV64DExecutable.Functions.execute_STORE	4	-	LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.rX_bits,LeanRV64DExecutable.Functions.vmem_write
LeanRV64DExecutable.Functions.execute_ADDIW	3	-	LeanRV64DExecutable.Functions.rX_bits,LeanRV64DExecutable.Functions.wX_bits
LeanRV64DExecutable.Functions.execute_RTYPEW	4	-	LeanRV64DExecutable.Functions.rX_bits,LeanRV64DExecutable.Functions.wX_bits
LeanRV64DExecutable.Functions.execute_SHIFTIWOP	4	-	LeanRV64DExecutable.Functions.rX_bits,LeanRV64DExecutable.Functions.wX_bits
Sail.ConcurrencyInterfaceV1.PreSail.sail_barrier	8	-	
LeanRV64DExecutable.ConcurrencyInterfaceV1.sail_barrier	2	-	Sail.ConcurrencyInterfaceV1.PreSail.sail_barrier
LeanRV64DExecutable.Functions.execute_FENCE_TSO	1	-	LeanRV64DExecutable.ConcurrencyInterfaceV1.sail_barrier
LeanRV64DExecutable.Functions.is_fiom_active	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.internal_error
LeanRV64DExecutable.Functions.execute_FENCE	5	-	LeanRV64DExecutable.Functions.is_fiom_active,LeanRV64DExecutable.ConcurrencyInterfaceV1.sail_barrier
LeanRV64DExecutable.Functions.execute_ECALL	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.internal_error,LeanRV64DExecutable.Functions.trap
LeanRV64DExecutable.Functions.long_csr_write_callback	3	-	LeanRV64DExecutable.Functions.csr_name_write_callback
LeanRV64DExecutable.Functions.align_pc	1	-	LeanRV64DExecutable.Functions.currentlyEnabled
LeanRV64DExecutable.Functions.get_xepc	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.align_pc,LeanRV64DExecutable.Functions.internal_error
LeanRV64DExecutable.Functions.prepare_xret_target	1	-	LeanRV64DExecutable.Functions.get_xepc
LeanRV64DExecutable.Functions.privLevel_to_str	1	-	LeanRV64DExecutable.Functions.currentlyEnabled
LeanRV64DExecutable.Functions.get_xLPE	1	-	
LeanRV64DExecutable.Functions.zicfilp_restore_elp_on_xret	2	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg,LeanRV64DExecutable.Functions.get_xLPE
LeanRV64DExecutable.Functions.execute_MRET	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg,LeanRV64DExecutable.Functions.privLevel_bits_forwards,LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.long_csr_write_callback,LeanRV64DExecutable.Functions.prepare_xret_target,LeanRV64DExecutable.Functions.set_next_pc,LeanRV64DExecutable.Functions.privLevel_to_str,LeanRV64DExecutable.Functions.zicfilp_restore_elp_on_xret
LeanRV64DExecutable.Functions.execute_SRET	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.internal_error,LeanRV64DExecutable.writeReg,LeanRV64DExecutable.Functions.long_csr_write_callback,LeanRV64DExecutable.Functions.prepare_xret_target,LeanRV64DExecutable.Functions.set_next_pc,LeanRV64DExecutable.Functions.privLevel_to_str,LeanRV64DExecutable.Functions.zicfilp_restore_elp_on_xret
LeanRV64DExecutable.Functions.execute_EBREAK	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.trap
LeanRV64DExecutable.Functions.execute_WFI	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.internal_error
LeanRV64DExecutable.Functions.flush_TLB	2	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.execute_SFENCE_VMA	2	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.flush_TLB,LeanRV64DExecutable.Functions.internal_error,LeanRV64DExecutable.Functions.rX_bits
LeanRV64DExecutable.Functions.update_elp_state	1	-	LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.execute_JALR	3	-	LeanRV64DExecutable.Functions.update_elp_state,LeanRV64DExecutable.Functions.get_next_pc,LeanRV64DExecutable.Functions.rX_bits,LeanRV64DExecutable.Functions.jump_to,LeanRV64DExecutable.Functions.wX_bits
LeanRV64DExecutable.Functions.privLevel_to_CSR_privbits	1	-	LeanRV64DExecutable.Functions.currentlyEnabled
LeanRV64DExecutable.Functions.check_CSR_priv	2	-	LeanRV64DExecutable.Functions.privLevel_to_CSR_privbits
LeanRV64DExecutable.Functions.is_hstateen_accessible	1	-	
